날짜,전국,서울,경기,인천,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2005-07-31,65.42889248,64.86184974,68.55817518,65.39759614,58.23627211,64.90952429,62.20069188,78.65186925,55.82401378,,70.06304253,64.55941994,77.66112612,60.17477114,61.96214397,66.90470465,63.77137256,53.10890722
2005-08-31,65.73387553,65.20823028,68.87726999,65.45775854,58.22233079,65.58576609,62.90651687,78.7062387,56.26238209,,70.34561186,65.30729898,78.12018394,60.59318875,61.96107106,67.17258433,63.96341668,52.92933788
2005-09-30,65.90061241,65.34216964,68.98801913,65.38001875,58.21290256,66.17425894,63.18965777,78.57593042,56.77003198,,71.02369526,65.85668471,78.16709839,60.97671034,62.08826924,67.3531557,64.19328221,52.86789593
2005-10-31,65.91710434,65.25521446,68.85202459,65.310656,58.17649,66.57826853,63.33694906,77.97543787,56.79303096,,71.2643682,66.68766871,78.15455913,61.54400476,62.11906497,68.07338678,64.28370614,52.8712406
2005-11-30,65.9581857,65.44113634,68.77234981,65.18482148,58.1321435,66.93049158,63.47836903,77.54367484,56.67176985,,71.35577593,66.99585261,77.98023985,61.61244707,62.24646043,68.80319681,64.22241563,52.93093015
2005-12-31,66.10675783,65.75218905,68.8438485,65.16530327,58.0920167,67.35108815,63.58997896,77.96054641,56.68668181,,71.54301572,67.24324601,77.94253258,61.82766165,62.32971442,69.14663852,64.2628475,52.86440549
2006-01-31,66.38559209,66.27679097,69.12966648,65.19877002,58.05567725,67.83988609,63.92083839,78.22291424,56.90004053,,71.74352764,67.83898996,77.59208898,62.150478,62.35583561,69.3193154,64.52926071,52.7584389
2006-02-28,66.76988341,66.92357597,69.71258657,65.26825456,58.10246389,68.15118911,64.24918309,78.136844,57.02977305,,72.23366212,68.549395,77.92491779,62.4953602,62.36723836,69.66337594,64.63337984,52.7584389
2006-03-31,67.31741649,68.01737301,70.43205551,65.4130159,58.1229413,68.48387828,64.5054742,78.09547189,57.58099672,,72.7888899,69.40818988,78.00399924,62.94780895,62.40620708,70.42937345,64.8293987,52.7248088
2006-04-30,68.00152493,69.46806798,71.48025371,65.72877144,58.04120517,68.72386205,64.82259118,77.89735562,58.21159734,,73.06703753,69.95587884,78.06575463,63.47938405,62.43681532,71.17755863,64.94809684,52.74812205
2006-05-31,68.80757606,70.80975199,73.11573356,65.99032395,57.94126226,69.00250171,64.91864598,77.54918287,59.33338764,,73.2299773,70.10396749,78.08289485,64.0745939,62.54306376,72.10686388,65.09075976,53.1042915
2006-06-30,69.1928595,71.3018195,74.05322978,66.23182975,57.81269078,68.92664723,65.19214042,77.10689967,60.01442407,,73.16662375,70.22408177,77.98922153,64.52636204,62.7676906,72.59181425,65.07385656,53.11164194
2006-07-31,69.34782045,71.52414696,74.48849225,66.35178629,57.67164911,68.76781911,65.20607854,76.77320461,60.2994774,,73.36244682,70.34316142,77.89608242,64.75465091,62.96576623,73.13135641,64.87562674,53.07977027
2006-08-31,69.50755189,71.74142241,74.91405771,66.53751465,57.63228783,68.61757792,65.29745933,76.52619237,60.56318336,,73.23759493,70.19543807,77.62512971,65.00105469,63.09067413,73.33164249,64.88827778,53.07977027
