날짜,전국,서울,부산,대구,인천,광주,대전,울산,수도권,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1996-10-31,39.66743562234214,30.500709979181106,43.07392109705668,44.28147353324844,43.22652787231448,58.362104392890615,39.53712728498672,47.667139285991716,,,,,,,,,,,
1996-11-30,39.78330933886308,30.649348916701477,42.90093346212875,44.28147353324844,43.18488381848759,58.074038724613764,39.763053726615205,47.667139285991716,,,,,,,,,,,
1996-12-31,39.976432199731356,30.97635457924631,43.333402549448614,44.28147353324844,43.18488381848759,57.728359922681534,39.763053726615205,47.667139285991716,,,,,,,,,,,
1997-01-31,40.787548215378074,31.957371566880788,43.20366182325264,44.192016010959044,43.80954462589099,57.728359922681534,40.62910508619112,47.667139285991716,,,,,,,,,,,
1997-02-28,41.52141508667748,32.55192731696229,43.20366182325264,44.37093105553784,45.641882994274255,57.728359922681534,41.495156445767,47.667139285991716,,,,,,,,,,,
1997-03-31,41.7531625197194,32.46274395445006,42.94418037086072,44.46038857782721,46.34983190933143,57.61313365537078,42.850715095537964,47.667139285991716,,,,,,,,,,,
1997-04-30,41.79178709189305,32.40328837944192,42.90093346212875,44.46038857782721,46.80791650142726,57.61313365537078,42.850715095537964,47.667139285991716,,,,,,,,,,,
1997-05-31,41.79178709189305,32.314105016929695,42.81443964466479,44.54984610011658,46.807916501427265,57.38268112074931,42.850715095537964,47.66713928599172,,,,,,,,,,,
1997-06-30,41.753162519719396,32.314105016929695,42.59820510100485,44.5051173389719,46.5996962322928,57.26745485343858,42.850715095537964,46.957806856140664,,,,,,,,,,,
1997-07-31,41.79178709189304,32.314105016929695,42.68469891846882,44.46038857782721,46.974492716734815,56.97938918516171,42.850715095537964,46.957806856140664,,,,,,,,,,,
1997-08-31,41.94628538058764,32.49247174195414,42.641452009736824,44.28147353324842,46.974492716734815,56.86416291785093,42.850715095537964,46.957806856140664,,,,,,,,,,,
1997-09-30,42.17803281362957,32.87893297950712,42.641452009736824,44.01310096638026,47.01613677056172,56.86416291785093,43.038987130228385,46.957806856140664,,,,,,,,,,,
1997-10-31,42.21665738580322,32.87893297950712,42.72794582720081,43.92364344409088,47.01613677056172,56.63371038322948,43.038987130228385,46.957806856140664,,,,,,,,,,,
1997-11-30,42.10078366928228,32.73029404198676,42.641452009736824,43.87891468294617,46.5580521784659,56.63371038322948,43.302567978794954,46.957806856140664,,,,,,,,,,,
1997-12-31,41.86903623624035,32.581655104466364,42.295476739880954,43.610542116078,46.30818785550455,56.46087098226336,43.302567978794954,46.579496226886754,,,,,,,,,,,
1998-01-31,41.482790514503805,32.13573829190524,41.90625456129309,42.80542441547348,45.9750354248894,56.403257848608,43.302567978794954,46.579496226886754,,,,,,,,,,,
1998-02-28,40.6716744988571,31.422271391807442,41.51703238270524,41.32937529769855,44.7673578639095,55.94235277936503,43.56614882736155,46.579496226886754,,,,,,,,,,,
1998-03-31,39.512937333647486,30.233159891644444,40.91157566045745,38.55619210672742,43.85118867971788,51.90943342348908,43.00133272329029,46.579496226886754,,,,,,,,,,,
1998-04-30,38.27695102409057,28.80622609144884,39.65741530722989,37.88526068955699,42.685155172564876,51.50614148790148,42.58713424697139,45.63371965375201,,,,,,,,,,,
1998-05-31,37.11821385888096,27.736025741302125,38.878970950054175,37.21432927238656,41.5191216654119,50.98762328500315,41.38219322495277,42.796389934347744,,,,,,,,,,,
1998-06-30,36.57746984844981,27.26038114123693,38.2735142278064,37.16960051124187,40.51966437356647,49.83536061189572,41.38219322495277,42.796389934347744,,,,,,,,,,,
1998-07-31,36.46159613192886,27.498203441269524,38.014032775414485,36.7670416609396,40.51966437356647,48.85593733975444,42.39886221228099,39.91177138628673,,,,,,,,,,,
1998-08-31,36.616094420623476,27.884664678822507,37.9707858666825,37.03541422780778,39.936647619989984,48.16457973588998,42.73775187472372,39.91177138628673,,,,,,,,,,,
1998-09-30,36.307097843234246,27.646842378789902,37.62481059682661,36.90122794437369,39.72842735085551,47.99174033492388,42.73775187472372,39.91177138628673,,,,,,,,,,,
1998-10-31,35.99810126584502,27.14146999122063,37.408576053166705,36.99068546666308,39.43691897406727,47.99174033492388,42.39886221228099,39.91177138628673,,,,,,,,,,,
1998-11-30,35.84360297715041,26.903647691188034,37.408576053166705,36.94595670551838,39.1870546511059,47.87651406761313,42.39886221228099,39.91177138628673,,,,,,,,,,,
1998-12-31,36.191224126713294,27.825209103814352,37.149094600774816,37.16960051124187,38.85390222049078,47.81890093395777,42.39886221228099,39.91177138628673,,,,,,,,,,,
1999-01-31,37.00234014236001,28.687314941432533,37.49506987063067,37.706345644978214,40.85281680418162,47.99174033492388,43.41553119960922,39.91177138628673,33.533399750652876,,,,,,,,,,
1999-02-28,37.31133671974922,28.806226091448845,37.7113044142906,39.09293724046377,41.68569788071947,48.106966602234614,43.641457641237714,40.0063490436002,33.80301502502998,,,,,,,,,,
1999-03-31,37.62033329713848,29.014320603977364,38.10052659287847,39.7191398964895,42.06049436516151,48.51025853782223,44.39454577999937,40.0063490436002,34.10633220870423,,,,,,,,,,
1999-04-30,37.774831585833056,29.162959541497752,38.2735142278064,40.792630163962215,42.1437824728153,49.028776740720545,44.35689137306127,40.0063490436002,34.14003411800137,,,,,,,,,,
1999-05-31,37.96795444670133,29.400781841530343,38.48974877146632,40.971545208540974,42.47693490343043,49.028776740720545,44.319236966123206,40.14821552957043,34.477053210972755,,,,,,,,,,
1999-06-30,38.19970187974326,29.60887635405886,39.00871167625013,40.70317264167281,42.56022301108424,48.79832420609905,44.808744256318285,40.431948501510846,34.780370394647,,,,,,,,,,
1999-07-31,38.43144931278518,30.084520954124066,39.31144003737403,40.88208768625157,42.518578957257326,48.62548480513294,44.69578103550405,40.573814987481086,35.11738948761839,,,,,,,,,,
1999-08-31,38.89494417886902,30.76826006671779,39.52767458103395,41.195189014264436,42.851731387872476,48.62548480513294,44.620472221627864,40.52652615882434,35.79142767356117,,,,,,,,,,
1999-09-30,39.35843904495287,31.333088029295215,39.700662215961884,41.597747864566706,43.55968030292965,48.567871671477576,44.28158255918512,40.90483678807824,36.46546585950394,,,,,,,,,,
